id,color,x1,y1,x2,y2
16,"(0.6549019607843137, 0.9098039215686274, 0.6235294117647059)",344.1224060058594,978.88232421875,344.1224060058594,978.88232421875
17,"(0.36470588235294116, 0.9176470588235294, 0.1450980392156863)",344.1224060058594,978.88232421875,344.1224060058594,978.88232421875
18,"(0.17647058823529413, 0.2784313725490196, 0.9254901960784314)",344.1224060058594,978.88232421875,344.1224060058594,978.88232421875
19,"(0.5882352941176471, 0.047058823529411764, 0.8627450980392157)",344.1224060058594,978.88232421875,344.1224060058594,978.88232421875
20,"(0.7058823529411765, 0.45098039215686275, 0.2196078431372549)",344.1224060058594,978.88232421875,344.1224060058594,978.88232421875
21,"(0.43137254901960786, 0.8823529411764706, 0.7529411764705882)",344.1224060058594,978.88232421875,344.1224060058594,978.88232421875
22,"(0.6078431372549019, 0.4823529411764706, 0.5098039215686274)",344.1224060058594,978.88232421875,344.1224060058594,978.88232421875
23,"(0.6509803921568628, 0.4235294117647059, 0.8980392156862745)",344.1224060058594,978.88232421875,344.1224060058594,978.88232421875
24,"(0.21176470588235294, 0.15294117647058825, 0.4470588235294118)",344.1224060058594,978.88232421875,344.1224060058594,978.88232421875
25,"(0.3176470588235294, 0.5725490196078431, 0.807843137254902)",344.1224060058594,978.88232421875,344.1224060058594,978.88232421875
26,"(0.36470588235294116, 0.8156862745098039, 0.5882352941176471)",344.1224060058594,978.88232421875,344.1224060058594,978.88232421875
27,"(0.0196078431372549, 0.42745098039215684, 0.0)",344.1224060058594,978.88232421875,344.1224060058594,978.88232421875
28,"(0.10980392156862745, 0.7098039215686275, 0.20784313725490197)",344.1224060058594,978.88232421875,344.1224060058594,978.88232421875
29,"(0.9372549019607843, 0.9764705882352941, 0.5529411764705883)",344.1224060058594,978.88232421875,344.1224060058594,978.88232421875
30,"(0.047058823529411764, 0.4, 0.9215686274509803)",344.1224060058594,978.88232421875,344.1224060058594,978.88232421875
31,"(0.19607843137254902, 0.023529411764705882, 0.8823529411764706)",344.1224060058594,978.88232421875,344.1224060058594,978.88232421875
32,"(0.43529411764705883, 0.5254901960784314, 0.3568627450980392)",344.1224060058594,978.88232421875,344.1224060058594,978.88232421875
33,"(0.8, 0.26666666666666666, 0.1843137254901961)",344.1224060058594,978.88232421875,344.1224060058594,978.88232421875
34,"(0.8431372549019608, 0.16862745098039217, 0.22745098039215686)",344.1224060058594,978.88232421875,344.1224060058594,978.88232421875
35,"(0.4627450980392157, 0.3411764705882353, 0.058823529411764705)",344.1224060058594,978.88232421875,344.1224060058594,978.88232421875
36,"(0.8745098039215686, 0.592156862745098, 0.0)",344.1224060058594,978.88232421875,344.1224060058594,978.88232421875
37,"(0.3411764705882353, 0.03137254901960784, 0.8196078431372549)",344.1224060058594,978.88232421875,344.1224060058594,978.88232421875
38,"(0.06666666666666667, 0.49019607843137253, 0.023529411764705882)",344.1224060058594,978.88232421875,344.1224060058594,978.88232421875
39,"(0.9254901960784314, 0.1450980392156863, 0.5137254901960784)",344.1224060058594,978.88232421875,344.1224060058594,978.88232421875
40,"(0.4392156862745098, 0.6784313725490196, 0.9058823529411765)",344.1224060058594,978.88232421875,344.1224060058594,978.88232421875
41,"(0.8549019607843137, 0.9725490196078431, 0.6)",344.1224060058594,978.88232421875,344.1224060058594,978.88232421875
42,"(0.9764705882352941, 0.4588235294117647, 0.5294117647058824)",344.1224060058594,978.88232421875,344.1224060058594,978.88232421875
43,"(0.5372549019607843, 0.06274509803921569, 0.5882352941176471)",344.1224060058594,978.88232421875,344.1224060058594,978.88232421875
44,"(0.047058823529411764, 0.8431372549019608, 0.5176470588235295)",344.1224060058594,978.88232421875,344.1224060058594,978.88232421875
45,"(0.49019607843137253, 0.8196078431372549, 0.8666666666666667)",344.1224060058594,978.88232421875,344.1224060058594,978.88232421875
46,"(0.396078431372549, 0.3215686274509804, 0.43137254901960786)",344.1224060058594,978.88232421875,344.1224060058594,978.88232421875
47,"(0.050980392156862744, 0.9411764705882353, 0.047058823529411764)",344.1224060058594,978.88232421875,344.1224060058594,978.88232421875
48,"(0.4627450980392157, 0.1803921568627451, 0.8705882352941177)",344.1224060058594,978.88232421875,344.1224060058594,978.88232421875
49,"(0.5215686274509804, 0.2823529411764706, 0.807843137254902)",344.1224060058594,978.88232421875,344.1224060058594,978.88232421875
50,"(0.20392156862745098, 0.8509803921568627, 0.5137254901960784)",344.1224060058594,978.88232421875,344.1224060058594,978.88232421875
51,"(0.5686274509803921, 0.3058823529411765, 0.34509803921568627)",344.1224060058594,978.88232421875,344.1224060058594,978.88232421875
52,"(0.5254901960784314, 0.12549019607843137, 0.17254901960784313)",344.1224060058594,978.88232421875,344.1224060058594,978.88232421875
53,"(0.615686274509804, 0.6196078431372549, 0.24313725490196078)",344.1224060058594,978.88232421875,344.1224060058594,978.88232421875
54,"(0.9294117647058824, 0.2235294117647059, 0.12156862745098039)",344.1224060058594,978.88232421875,344.1224060058594,978.88232421875
55,"(0.8392156862745098, 0.8352941176470589, 0.09411764705882353)",344.1224060058594,978.88232421875,344.1224060058594,978.88232421875
56,"(0.403921568627451, 0.2901960784313726, 0.01568627450980392)",344.1224060058594,978.88232421875,344.1224060058594,978.88232421875
57,"(0.43137254901960786, 0.6313725490196078, 0.6705882352941176)",344.1224060058594,978.88232421875,344.1224060058594,978.88232421875
58,"(0.4, 0.6823529411764706, 0.9333333333333333)",368.43524169921875,1059.4351806640625,368.43524169921875,1059.4351806640625
59,"(0.6588235294117647, 0.8352941176470589, 0.6470588235294118)",368.43524169921875,1059.4351806640625,368.43524169921875,1059.4351806640625
60,"(0.6745098039215687, 0.6509803921568628, 0.2549019607843137)",368.43524169921875,1059.4351806640625,368.43524169921875,1059.4351806640625
61,"(0.35294117647058826, 0.24705882352941178, 0.3568627450980392)",368.43524169921875,1059.4351806640625,368.43524169921875,1059.4351806640625
62,"(0.6431372549019608, 0.37254901960784315, 0.11764705882352941)",368.43524169921875,1059.4351806640625,368.43524169921875,1059.4351806640625
63,"(0.24313725490196078, 0.9019607843137255, 0.44313725490196076)",368.43524169921875,1059.4351806640625,368.43524169921875,1059.4351806640625
64,"(0.6274509803921569, 0.8, 0.11764705882352941)",368.43524169921875,1059.4351806640625,368.43524169921875,1059.4351806640625
65,"(0.6039215686274509, 0.6549019607843137, 0.7764705882352941)",368.43524169921875,1059.4351806640625,368.43524169921875,1059.4351806640625
