id,color,x1,y1,x2,y2
56,"(0.13725490196078433, 0.8470588235294118, 0.6313725490196078)",1325.8304443359375,1044.118896484375,1325.8304443359375,1044.118896484375
57,"(0.30196078431372547, 0.5529411764705883, 0.6823529411764706)",1325.8304443359375,1044.118896484375,1325.8304443359375,1044.118896484375
58,"(0.6196078431372549, 0.7098039215686275, 0.27450980392156865)",1325.8304443359375,1044.118896484375,1325.8304443359375,1044.118896484375
59,"(0.8745098039215686, 0.3176470588235294, 0.4)",1325.8304443359375,1044.118896484375,1325.8304443359375,1044.118896484375
60,"(0.9490196078431372, 0.6313725490196078, 0.14901960784313725)",1325.8304443359375,1044.118896484375,1325.8304443359375,1044.118896484375
61,"(0.8941176470588236, 0.3607843137254902, 0.6941176470588235)",1325.8304443359375,1044.118896484375,1325.8304443359375,1044.118896484375
62,"(0.12941176470588237, 0.8509803921568627, 0.9294117647058824)",1325.8304443359375,1044.118896484375,1325.8304443359375,1044.118896484375
63,"(0.8666666666666667, 0.6745098039215687, 0.1607843137254902)",1325.8304443359375,1044.118896484375,1325.8304443359375,1044.118896484375
64,"(0.12549019607843137, 0.9921568627450981, 0.12549019607843137)",1325.8304443359375,1044.118896484375,1325.8304443359375,1044.118896484375
65,"(0.796078431372549, 0.10196078431372549, 0.14901960784313725)",1325.8304443359375,1044.118896484375,1325.8304443359375,1044.118896484375
66,"(0.6666666666666666, 0.7098039215686275, 0.7215686274509804)",1325.8304443359375,1044.118896484375,1325.8304443359375,1044.118896484375
67,"(0.4745098039215686, 0.6352941176470588, 0.3568627450980392)",1325.8304443359375,1044.118896484375,1325.8304443359375,1044.118896484375
68,"(0.7058823529411765, 0.9568627450980393, 0.7098039215686275)",1325.8304443359375,1044.118896484375,1325.8304443359375,1044.118896484375
69,"(0.4392156862745098, 0.3843137254901961, 0.7333333333333333)",1325.8304443359375,1044.118896484375,1325.8304443359375,1044.118896484375
70,"(0.37254901960784315, 0.050980392156862744, 0.15294117647058825)",1325.8304443359375,1044.118896484375,1325.8304443359375,1044.118896484375
71,"(0.48627450980392156, 0.8352941176470589, 0.9019607843137255)",1325.8304443359375,1044.118896484375,1325.8304443359375,1044.118896484375
72,"(0.21568627450980393, 0.2627450980392157, 1.0)",1325.8304443359375,1044.118896484375,1325.8304443359375,1044.118896484375
73,"(0.10980392156862745, 0.11372549019607843, 0.3803921568627451)",1325.8304443359375,1044.118896484375,1325.8304443359375,1044.118896484375
74,"(0.2784313725490196, 0.44313725490196076, 0.21176470588235294)",1325.8304443359375,1044.118896484375,1325.8304443359375,1044.118896484375
75,"(0.10980392156862745, 0.615686274509804, 0.3607843137254902)",1325.8304443359375,1044.118896484375,1325.8304443359375,1044.118896484375
76,"(0.07058823529411765, 0.7686274509803922, 0.09803921568627451)",1325.8304443359375,1044.118896484375,1325.8304443359375,1044.118896484375
77,"(0.36470588235294116, 0.9490196078431372, 0.36470588235294116)",1325.8304443359375,1044.118896484375,1325.8304443359375,1044.118896484375
78,"(0.8901960784313725, 0.9333333333333333, 0.41568627450980394)",1325.8304443359375,1044.118896484375,1325.8304443359375,1044.118896484375
79,"(0.043137254901960784, 0.9254901960784314, 0.7411764705882353)",1325.8304443359375,1044.118896484375,1325.8304443359375,1044.118896484375
80,"(0.6941176470588235, 0.6, 0.19607843137254902)",1325.8304443359375,1044.118896484375,1325.8304443359375,1044.118896484375
81,"(0.7490196078431373, 0.7647058823529411, 0.7450980392156863)",1325.8304443359375,1044.118896484375,1325.8304443359375,1044.118896484375
82,"(0.7647058823529411, 0.9098039215686274, 0.32941176470588235)",1325.8304443359375,1044.118896484375,1325.8304443359375,1044.118896484375
83,"(0.20392156862745098, 0.5372549019607843, 0.054901960784313725)",1385.019775390625,1015.7847900390625,1385.019775390625,1015.7847900390625
84,"(0.984313725490196, 0.03529411764705882, 0.9803921568627451)",1385.019775390625,1015.7847900390625,1385.019775390625,1015.7847900390625
85,"(0.3568627450980392, 0.3411764705882353, 0.6745098039215687)",1385.019775390625,1015.7847900390625,1385.019775390625,1015.7847900390625
86,"(0.5529411764705883, 0.42745098039215684, 0.5411764705882353)",1385.019775390625,1015.7847900390625,1385.019775390625,1015.7847900390625
87,"(0.023529411764705882, 0.8784313725490196, 0.6039215686274509)",1385.019775390625,1015.7847900390625,1385.019775390625,1015.7847900390625
88,"(0.7058823529411765, 0.3803921568627451, 0.4196078431372549)",1385.019775390625,1015.7847900390625,1385.019775390625,1015.7847900390625
89,"(0.17647058823529413, 0.37254901960784315, 0.12549019607843137)",1385.019775390625,1015.7847900390625,1385.019775390625,1015.7847900390625
90,"(0.37254901960784315, 0.6745098039215687, 0.1450980392156863)",1385.019775390625,1015.7847900390625,1385.019775390625,1015.7847900390625
91,"(0.1411764705882353, 0.8156862745098039, 0.8313725490196079)",1385.019775390625,1015.7847900390625,1385.019775390625,1015.7847900390625
92,"(0.4588235294117647, 0.6392156862745098, 0.5882352941176471)",1392.5601806640625,3736.32763671875,1392.5601806640625,3736.32763671875
93,"(0.8745098039215686, 0.4235294117647059, 0.9882352941176471)",1392.5601806640625,3736.32763671875,1392.5601806640625,3736.32763671875
94,"(0.7529411764705882, 0.047058823529411764, 0.5098039215686274)",1392.5601806640625,3736.32763671875,1392.5601806640625,3736.32763671875
95,"(0.047058823529411764, 0.29411764705882354, 0.06274509803921569)",1392.5601806640625,3736.32763671875,1392.5601806640625,3736.32763671875
96,"(0.7529411764705882, 0.22745098039215686, 0.39215686274509803)",1392.9293212890625,3735.377197265625,1392.9293212890625,3735.377197265625
97,"(0.9921568627450981, 0.10196078431372549, 0.9764705882352941)",1486.3140869140625,699.9915161132812,1486.3140869140625,699.9915161132812
98,"(0.615686274509804, 0.5647058823529412, 0.396078431372549)",1499.5977783203125,1376.532958984375,1499.5977783203125,1376.532958984375
99,"(0.7686274509803922, 0.25098039215686274, 0.6666666666666666)",1527.3011474609375,2872.205078125,1527.3011474609375,2872.205078125
100,"(0.592156862745098, 0.7254901960784313, 0.44313725490196076)",1656.6910400390625,2216.8046875,1656.6910400390625,2216.8046875
101,"(0.7843137254901961, 0.4588235294117647, 0.5843137254901961)",1656.6910400390625,2216.8046875,1656.6910400390625,2216.8046875
102,"(0.2196078431372549, 0.5058823529411764, 0.5843137254901961)",1656.6910400390625,2216.8046875,1656.6910400390625,2216.8046875
103,"(0.5647058823529412, 0.33725490196078434, 0.3843137254901961)",1656.6910400390625,2216.8046875,1656.6910400390625,2216.8046875
104,"(0.27058823529411763, 0.9882352941176471, 0.7294117647058823)",1656.6910400390625,2216.8046875,1656.6910400390625,2216.8046875
105,"(0.21176470588235294, 0.7568627450980392, 0.6078431372549019)",1656.6910400390625,2216.8046875,1656.6910400390625,2216.8046875
106,"(0.4549019607843137, 0.5411764705882353, 0.8745098039215686)",1656.6910400390625,2216.8046875,1656.6910400390625,2216.8046875
107,"(0.796078431372549, 0.8431372549019608, 0.5019607843137255)",1656.6910400390625,2216.8046875,1656.6910400390625,2216.8046875
108,"(0.9450980392156862, 0.42745098039215684, 0.9921568627450981)",1656.6910400390625,2216.8046875,1656.6910400390625,2216.8046875
109,"(0.8666666666666667, 0.596078431372549, 0.9333333333333333)",1868.481201171875,2024.1217041015625,1868.481201171875,2024.1217041015625
110,"(0.8117647058823529, 0.5490196078431373, 0.8666666666666667)",1868.481201171875,2024.1217041015625,1868.481201171875,2024.1217041015625
111,"(0.9372549019607843, 0.8470588235294118, 0.615686274509804)",1868.481201171875,2024.1217041015625,1868.481201171875,2024.1217041015625
112,"(0.7490196078431373, 0.6588235294117647, 0.8862745098039215)",1868.481201171875,2024.1217041015625,1868.481201171875,2024.1217041015625
113,"(0.2235294117647059, 0.29411764705882354, 0.4588235294117647)",1868.481201171875,2024.1217041015625,1868.481201171875,2024.1217041015625
114,"(0.3843137254901961, 0.7529411764705882, 0.8156862745098039)",1868.481201171875,2024.1217041015625,1868.481201171875,2024.1217041015625
115,"(0.8549019607843137, 0.0784313725490196, 0.4980392156862745)",1868.481201171875,2024.1217041015625,1868.481201171875,2024.1217041015625
116,"(0.7411764705882353, 0.5568627450980392, 0.8235294117647058)",1868.481201171875,2024.1217041015625,1868.481201171875,2024.1217041015625
117,"(0.807843137254902, 0.5372549019607843, 0.3803921568627451)",1868.481201171875,2024.1217041015625,1868.481201171875,2024.1217041015625
118,"(0.6039215686274509, 0.3803921568627451, 0.09019607843137255)",1868.481201171875,2024.1217041015625,1868.481201171875,2024.1217041015625
119,"(0.9019607843137255, 0.16470588235294117, 0.6784313725490196)",1868.481201171875,2024.1217041015625,1868.481201171875,2024.1217041015625
120,"(0.6862745098039216, 0.08627450980392157, 0.6235294117647059)",1868.481201171875,2024.1217041015625,1868.481201171875,2024.1217041015625
121,"(0.17647058823529413, 0.615686274509804, 0.7372549019607844)",1868.481201171875,2024.1217041015625,1868.481201171875,2024.1217041015625
122,"(0.3803921568627451, 0.7764705882352941, 0.03529411764705882)",1868.481201171875,2024.1217041015625,1868.481201171875,2024.1217041015625
123,"(0.25098039215686274, 0.8392156862745098, 0.2627450980392157)",1868.481201171875,2024.1217041015625,1868.481201171875,2024.1217041015625
124,"(0.47843137254901963, 0.7137254901960784, 0.596078431372549)",1868.481201171875,2024.1217041015625,1868.481201171875,2024.1217041015625
125,"(0.9137254901960784, 0.13333333333333333, 0.5215686274509804)",1871.949951171875,2022.100341796875,1871.949951171875,2022.100341796875
126,"(0.2196078431372549, 0.7411764705882353, 0.4117647058823529)",1871.949951171875,2022.100341796875,1871.949951171875,2022.100341796875
127,"(0.23529411764705882, 0.2784313725490196, 0.984313725490196)",1871.949951171875,2022.100341796875,1871.949951171875,2022.100341796875
128,"(0.30980392156862746, 0.5764705882352941, 0.08627450980392157)",1871.949951171875,2022.100341796875,1871.949951171875,2022.100341796875
129,"(0.16862745098039217, 0.5529411764705883, 0.5333333333333333)",1907.909912109375,380.5369873046875,1907.909912109375,380.5369873046875
130,"(0.7725490196078432, 0.6509803921568628, 0.4235294117647059)",1907.909912109375,380.5369873046875,1907.909912109375,380.5369873046875
131,"(0.15294117647058825, 0.047058823529411764, 0.3137254901960784)",1907.909912109375,380.5369873046875,1907.909912109375,380.5369873046875
132,"(0.10980392156862745, 0.3333333333333333, 0.25882352941176473)",1907.909912109375,380.5369873046875,1907.909912109375,380.5369873046875
133,"(0.06666666666666667, 0.28627450980392155, 0.0392156862745098)",1909.7401123046875,3362.572998046875,1909.7401123046875,3362.572998046875
134,"(0.7411764705882353, 0.4392156862745098, 0.3137254901960784)",1909.7401123046875,3362.572998046875,1909.7401123046875,3362.572998046875
135,"(0.6470588235294118, 0.4117647058823529, 0.7176470588235294)",1909.7401123046875,3362.572998046875,1909.7401123046875,3362.572998046875
136,"(0.6980392156862745, 0.7411764705882353, 0.9725490196078431)",1909.7401123046875,3362.572998046875,1909.7401123046875,3362.572998046875
137,"(0.803921568627451, 0.6588235294117647, 0.11764705882352941)",2123.283203125,1213.38720703125,2123.283203125,1213.38720703125
